,Date,Now_price,Date_after,After_price
0,2019-04-09,252.0,2019-04-14,263.5
1,2019-04-08,252.0,2019-04-13,261.0
2,2019-04-07,254.0,2019-04-12,258.0
3,2019-04-06,254.0,2019-04-11,254.83333333333334
4,2019-04-05,253.0,2019-04-10,253.16666666666666
5,2019-04-04,246.5,2019-04-09,252.66666666666666
6,2019-04-03,246.0,2019-04-08,253.33333333333334
7,2019-04-02,245.5,2019-04-07,253.66666666666666
8,2019-04-01,245.5,2019-04-06,251.16666666666666
9,2019-03-30,242.0,2019-04-04,248.5
10,2019-03-29,241.5,2019-04-03,246.0
11,2019-03-26,244.0,2019-03-31,245.66666666666666
12,2019-03-25,241.5,2019-03-30,244.33333333333334
13,2019-03-22,248.5,2019-03-27,243.0
14,2019-03-21,245.5,2019-03-26,242.5
15,2019-03-15,242.0,2019-03-20,245.16666666666666
16,2019-03-14,240.5,2019-03-19,245.33333333333334
17,2019-03-12,239.0,2019-03-17,242.66666666666666
18,2019-03-08,237.0,2019-03-13,238.16666666666666
19,2019-03-07,235.5,2019-03-12,236.83333333333334
20,2019-03-04,230.0,2019-03-09,235.66666666666666
21,2019-02-25,239.0,2019-03-02,233.66666666666666
22,2019-02-23,239.5,2019-02-28,235.83333333333334
23,2019-02-22,238.0,2019-02-27,238.0
24,2019-02-21,236.5,2019-02-26,238.83333333333334
25,2019-02-20,236.5,2019-02-25,238.0
26,2019-02-19,234.5,2019-02-24,237.0
27,2019-02-18,229.0,2019-02-23,235.83333333333334
28,2019-02-16,230.0,2019-02-21,233.33333333333334
29,2019-02-15,227.0,2019-02-20,231.16666666666666
30,2019-01-29,221.0,2019-02-03,224.16666666666666
31,2019-01-28,222.5,2019-02-02,225.83333333333334
32,2019-01-24,229.0,2019-01-29,225.83333333333334
33,2019-01-23,226.0,2019-01-28,223.0
34,2019-01-19,222.5,2019-01-24,222.0
35,2019-01-18,220.5,2019-01-23,221.5
36,2019-01-17,223.0,2019-01-22,220.83333333333334
37,2019-01-16,221.0,2019-01-21,220.0
38,2019-01-14,218.5,2019-01-19,218.83333333333334
39,2019-01-13,220.5,2019-01-18,219.66666666666666
40,2019-01-10,221.0,2019-01-15,219.0
41,2019-01-04,215.5,2019-01-09,218.33333333333334
42,2018-12-24,225.5,2018-12-29,220.16666666666666
43,2018-12-20,217.5,2018-12-25,221.66666666666666
44,2018-12-19,220.0,2018-12-24,219.0
45,2018-12-18,221.5,2018-12-23,218.0
46,2018-12-14,225.5,2018-12-19,221.66666666666666
47,2018-12-13,222.5,2018-12-18,222.0
48,2018-12-12,223.5,2018-12-17,223.33333333333334
49,2018-12-11,222.5,2018-12-16,223.0
50,2018-12-06,222.5,2018-12-11,225.0
51,2018-12-05,219.0,2018-12-10,225.0
52,2018-12-04,221.0,2018-12-09,222.66666666666666
53,2018-12-03,220.0,2018-12-08,220.83333333333334
54,2018-11-29,234.0,2018-12-04,222.33333333333334
55,2018-11-23,226.5,2018-11-28,229.83333333333334
56,2018-11-21,223.0,2018-11-26,227.0
57,2018-11-20,218.5,2018-11-25,226.5
58,2018-11-14,222.0,2018-11-19,218.83333333333334
59,2018-11-08,227.5,2018-11-13,228.5
60,2018-11-01,234.5,2018-11-06,233.83333333333334
61,2018-10-30,236.5,2018-11-04,235.0
62,2018-10-22,221.0,2018-10-27,230.83333333333334
63,2018-10-21,219.5,2018-10-26,226.5
64,2018-10-20,229.5,2018-10-25,222.16666666666666
65,2018-10-19,230.0,2018-10-24,221.0
66,2018-10-18,237.0,2018-10-23,223.33333333333334
67,2018-10-17,236.0,2018-10-22,226.33333333333334
68,2018-10-16,236.5,2018-10-21,232.16666666666666
69,2018-10-15,238.5,2018-10-20,234.33333333333334
70,2018-10-10,230.5,2018-10-15,237.0
71,2018-10-08,237.0,2018-10-13,237.33333333333334
72,2018-10-04,244.0,2018-10-09,236.16666666666666
73,2018-10-03,243.5,2018-10-08,238.33333333333334
74,2018-10-01,250.0,2018-10-06,245.83333333333334
75,2018-09-30,254.0,2018-10-05,249.16666666666666
76,2018-09-28,260.0,2018-10-03,254.66666666666666
77,2018-09-27,257.5,2018-10-02,257.1666666666667
78,2018-09-20,263.5,2018-09-25,263.6666666666667
79,2018-09-17,261.5,2018-09-22,264.0
80,2018-09-14,258.0,2018-09-19,259.8333333333333
81,2018-09-12,258.0,2018-09-17,257.5
82,2018-09-10,261.0,2018-09-15,256.8333333333333
83,2018-09-07,260.5,2018-09-12,258.0
84,2018-09-02,264.0,2018-09-07,261.6666666666667
85,2018-08-31,264.0,2018-09-05,263.1666666666667
86,2018-08-30,257.5,2018-09-04,263.0
87,2018-08-29,257.0,2018-09-03,260.8333333333333
88,2018-08-16,241.0,2018-08-21,243.33333333333334
89,2018-08-06,245.0,2018-08-11,241.33333333333334
90,2018-07-21,241.0,2018-07-26,245.33333333333334
91,2018-07-20,240.5,2018-07-25,243.66666666666666
92,2018-07-19,241.0,2018-07-24,242.0
93,2018-07-11,223.5,2018-07-16,228.33333333333334
94,2018-07-05,222.0,2018-07-10,221.66666666666666
95,2018-06-28,214.5,2018-07-03,215.83333333333334
96,2018-06-26,216.5,2018-07-01,215.0
