,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln,市值比重％,成交值比重％,成交筆數(筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ
0,2016-12-12,173.67,174.6,171.8,172.74,"18,817","3,494,579",-0.5376,0.0726,"25,930,380","4,797,120",184.5,185.0,-0.5391,17.457,5.5089999999999995,"6,853",15.64,15.84,3.74,3.74
1,2016-12-15,172.74,175.07,172.27,174.6,"24,244","4,508,246",-0.2667,0.0935,"25,930,380","4,848,981",187.0,187.5,-0.267,17.625999999999998,7.401,"6,135",15.81,16.01,3.78,3.78
2,2017-01-09,171.8,172.74,170.87,171.8,"18,583","3,419,409",0.0,0.0717,"25,930,380","4,771,189",183.5,184.0,0.0,17.352999999999998,5.733,"5,759",15.55,15.76,3.72,3.72
3,2017-01-18,168.53,169.0,167.6,169.0,"23,810","4,292,682",0.0,0.0918,"25,930,380","4,693,398",180.5,181.0,0.0,17.070999999999998,6.106,"7,783",15.3,15.5,3.66,3.66
4,2017-02-07,171.34,172.74,170.87,172.27,"23,981","4,418,689",0.0,0.0925,"25,930,380","4,784,155",184.5,185.0,0.0,17.002,4.938,"8,712",15.6,15.8,3.73,3.73
5,2017-02-10,172.27,173.2,171.8,173.2,"49,257","9,113,650",0.8152,0.19,"25,930,380","4,810,085",185.0,185.5,0.8119,16.89,7.132000000000001,"9,566",15.68,15.88,3.75,3.75
6,2017-02-15,174.6,176.94,174.14,176.47,"39,928","7,528,270",0.8,0.154,"25,930,380","4,900,841",189.0,189.5,0.7968,16.974,6.847,"12,905",15.98,16.18,3.82,3.82
7,2017-03-01,176.0,176.0,173.67,173.67,"48,263","9,041,728",-1.5873,0.1861,"25,930,380","4,823,050",186.0,186.5,-1.6,16.908,9.471,"12,019",14.43,15.93,3.47,3.76
8,2017-03-24,179.27,180.21,179.27,179.74,"17,722","3,408,016",-0.5168,0.0683,"25,930,380","4,991,598",192.0,192.5,-0.5181,17.088,4.047,"5,225",14.93,16.48,3.59,3.89
9,2017-03-27,181.61,181.61,179.27,180.21,"29,867","5,766,195",0.2597,0.1152,"25,930,380","5,004,563",192.5,193.0,0.2594,17.178,7.071000000000001,"6,963",14.97,16.53,3.6,3.9
