,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),成交值(千元),報酬率％,週轉率％,流通在外股數(千股),市值(百萬元),最後揭示買價,最後揭示賣價,報酬率-Ln,市值比重％,成交值比重％,成交筆數(筆),本益比-TSE,本益比-TEJ,股價淨值比-TSE,股價淨值比-TEJ
0,2016-12-06,169.0,170.87,168.53,169.94,"27,728","5,051,414",1.676,0.1069,"25,930,380","4,719,329",182.0,182.5,1.6621,17.357,7.855,"10,430",15.38,15.58,3.68,3.68
1,2016-12-09,173.67,173.67,172.27,173.67,"24,890","4,618,750",0.2695,0.096,"25,930,380","4,823,050",185.5,186.0,0.2692,17.471,6.841,"8,116",15.72,15.93,3.76,3.76
2,2016-12-27,168.07,168.53,167.6,168.07,"8,276","1,488,495",0.2786,0.0319,"25,930,380","4,667,468",179.5,180.0,0.2782,17.432000000000002,5.182,"4,246",15.22,15.41,3.64,3.64
3,2017-01-03,169.47,171.34,169.0,170.87,"23,550","4,300,648",0.8264,0.0908,"25,930,380","4,745,259",182.5,183.0,0.823,17.39,10.559000000000001,"8,743",15.47,15.67,3.7,3.7
4,2017-01-12,170.4,173.2,170.4,172.27,"48,599","8,959,263",1.3736,0.1874,"25,930,380","4,784,155",184.0,184.5,1.3643,17.276,11.037,"13,220",15.6,15.8,3.73,3.73
5,2017-02-06,172.27,173.2,171.8,172.27,"29,702","5,476,151",0.0,0.1145,"25,930,380","4,784,155",184.0,184.5,0.0,17.032,5.721,"8,330",15.6,15.8,3.73,3.73
6,2017-02-09,171.8,173.2,171.34,171.8,"23,419","4,320,161",0.2725,0.0903,"25,930,380","4,771,189",184.0,184.5,0.2721,16.885,3.64,"6,639",15.55,15.76,3.72,3.72
7,2017-02-23,175.54,176.94,174.6,176.0,"36,095","6,809,495",0.0,0.1392,"25,930,380","4,887,876",188.0,188.5,0.0,16.977,7.183,"7,885",14.62,16.14,3.52,3.81
8,2017-03-20,178.81,178.81,176.94,178.81,"16,531","3,154,243",0.0,0.0638,"25,930,380","4,965,667",191.0,191.5,0.0,16.983,4.077,"6,790",14.86,16.4,3.57,3.87
9,2017-03-21,179.27,182.07,178.81,182.07,"33,662","6,523,324",1.8277,0.1298,"25,930,380","5,056,424",194.5,195.0,1.8112,17.191,6.827000000000001,"13,192",15.13,16.7,3.64,3.94
10,2017-04-07,179.27,179.27,176.0,178.34,"19,066","3,624,732",-0.2611,0.0735,"25,930,380","4,952,702",190.5,191.0,-0.2614,16.997,3.795,"7,861",14.82,16.36,3.56,3.86
11,2017-04-12,177.87,178.81,177.41,178.34,"17,418","3,321,982",0.0,0.0672,"25,930,380","4,952,702",190.5,191.0,0.0,17.094,3.944,"5,778",14.82,16.36,3.56,3.86
12,2017-04-13,176.94,179.27,176.94,178.81,"14,796","2,829,915",0.2618,0.0571,"25,930,380","4,965,667",191.5,192.0,0.2614,17.105999999999998,3.529,"5,705",14.86,16.4,3.57,3.87
13,2017-05-03,184.87,185.34,183.94,184.87,"27,240","5,390,698",0.7634,0.1051,"25,930,380","5,134,215",197.5,198.0,0.7605,17.471,6.903,"9,259",15.36,16.95,3.7,4.0
14,2017-05-08,185.81,189.08,185.81,189.08,"39,591","7,943,498",2.5316,0.1527,"25,930,380","5,250,901",202.0,202.5,2.5001,17.9,9.523,"15,190",15.71,17.34,3.78,4.09
15,2017-05-09,191.88,193.28,190.01,190.01,"48,285","9,920,879",0.4938,0.1862,"25,930,380","5,276,832",203.5,204.0,0.4926,18.028,9.693,"15,467",15.79,17.43,3.8,4.11
16,2017-05-11,190.94,194.68,190.48,193.75,"44,286","9,144,772",0.9732,0.1708,"25,930,380","5,380,553",207.0,207.5,0.9685,18.223,9.991,"16,478",15.07,17.77,3.7,4.19
17,2017-05-23,191.41,193.28,190.94,191.41,"23,028","4,738,103",0.0,0.0888,"25,930,380","5,315,727",205.0,205.5,0.0,17.965,6.432,"7,003",14.89,17.55,3.65,4.14
18,2017-05-25,192.34,193.28,191.88,193.28,"26,088","5,388,004",0.7299,0.1006,"25,930,380","5,367,588",206.5,207.0,0.7273,17.962,5.553999999999999,"7,406",15.03,17.73,3.69,4.18
19,2017-06-07,197.95,198.41,196.08,197.48,"34,729","7,342,424",0.4751,0.1339,"25,930,380","5,484,275",211.0,211.5,0.4739,18.162,6.827999999999999,"8,034",15.36,15.31,3.77,3.77
20,2017-06-08,197.95,198.88,197.48,198.88,"21,654","4,599,496",0.7092,0.0835,"25,930,380","5,523,170",212.5,213.0,0.7067,18.262999999999998,5.909,"7,926",15.47,15.42,3.79,3.79
21,2017-06-23,203.55,204.02,202.62,202.62,"39,686","8,627,393",-0.4587,0.153,"25,930,380","5,626,892",217.0,217.5,-0.4598,18.334,10.57,"14,539",15.76,15.71,3.87,3.87
22,2017-06-23,203.55,204.02,202.62,202.62,"39,686","8,627,393",-0.4587,0.153,"25,930,380","5,626,892",217.0,217.5,-0.4598,18.334,10.57,"14,539",15.76,15.71,3.87,3.87
23,2017-06-28,202.13,202.62,200.69,201.17,"52,273","10,919,812",-1.4184,0.2016,"25,930,380","5,406,484",208.5,209.0,-1.4286,17.593,9.549,"15,953",15.14,15.09,3.71,3.71
24,2017-06-30,199.24,201.17,199.24,201.17,"31,709","6,580,047",-0.7143,0.1223,"25,930,380","5,406,484",208.0,208.5,-0.7168,17.581,7.397,"9,805",15.14,15.09,3.71,3.71
25,2017-07-03,200.2,201.65,199.72,201.65,"21,066","4,382,736",0.2398,0.0812,"25,930,380","5,419,449",208.5,209.0,0.2395,17.567999999999998,5.593999999999999,"7,037",15.18,15.13,3.72,3.72
26,2017-07-10,199.24,199.72,198.76,198.76,"13,326","2,749,724",0.0,0.0514,"25,930,380","5,341,658",206.0,206.5,0.0,17.519000000000002,3.589,"5,812",14.96,14.91,3.67,3.67
27,2017-07-27,205.99,208.4,205.99,207.92,"23,045","4,959,471",1.1737,0.0889,"25,930,380","5,587,996",215.5,216.0,1.1669,17.939,4.9030000000000005,"9,138",15.65,15.6,3.84,3.84
28,2017-08-07,205.99,208.89,205.99,208.4,"21,594","4,653,776",1.4085,0.0833,"25,930,380","5,600,962",215.5,216.0,1.3986,17.886,3.927,"7,115",15.69,15.64,3.85,3.85
29,2017-08-11,203.58,205.99,203.1,205.03,"41,592","8,803,564",-0.7009,0.1604,"25,930,380","5,510,205",212.0,212.5,-0.7034,18.021,7.867999999999999,"13,751",15.71,15.38,4.11,3.79
30,2017-08-17,205.99,206.47,205.51,206.47,"8,353","1,785,167",0.4695,0.0322,"25,930,380","5,549,101",213.5,214.0,0.4684,18.114,1.952,"3,120",15.82,15.49,4.14,3.81
31,2017-09-05,210.33,210.33,208.89,210.33,"34,514","7,503,488",0.2299,0.1331,"25,930,380","5,652,822",217.5,218.0,0.2296,18.034000000000002,6.932,"7,065",16.11,15.78,4.21,3.88
32,2017-09-06,208.89,210.33,208.4,209.37,"28,148","6,117,444",-0.4587,0.1086,"25,930,380","5,626,892",216.5,217.0,-0.4598,18.07,5.247000000000001,"6,999",16.04,15.71,4.19,3.87
33,2017-09-21,213.23,215.16,212.26,213.23,"18,645","4,125,047",-0.2257,0.0719,"25,930,380","5,730,613",221.0,221.5,-0.226,18.375999999999998,3.697,"6,604",16.33,16.0,4.27,3.94
34,2017-09-22,213.71,214.19,210.82,210.82,"22,456","4,930,530",-1.1312,0.0866,"25,930,380","5,665,788",218.5,219.0,-1.1377,18.402,4.446000000000001,"7,431",16.15,15.82,4.22,3.89
35,2017-09-28,207.44,208.4,205.99,206.47,"31,616","6,788,534",-0.4651,0.1219,"25,930,380","5,549,101",214.0,214.5,-0.4662,18.293,6.974,"7,749",15.82,15.49,4.14,3.81
36,2017-09-29,208.4,209.85,207.92,208.89,"23,954","5,184,362",1.1682,0.0924,"25,930,380","5,613,927",216.5,217.0,1.1615,18.449,5.629,"7,507",16.0,15.67,4.18,3.86
37,2017-10-02,211.78,212.75,210.82,212.75,"28,360","6,233,064",1.8476,0.1094,"25,930,380","5,717,648",220.0,220.5,1.8307,18.442,6.553999999999999,"10,605",16.3,16.24,4.26,4.26
38,2017-10-03,211.3,215.16,211.3,214.68,"38,330","8,497,244",0.907,0.1478,"25,930,380","5,769,509",222.0,222.5,0.9029,18.6,8.346,"12,703",16.44,16.39,4.3,4.3
39,2017-10-05,214.19,217.57,214.19,216.61,"25,397","5,691,251",0.8989,0.0979,"25,930,380","5,821,370",224.0,224.5,0.8949,18.679000000000002,5.829,"8,601",16.59,16.54,4.34,4.34
40,2017-10-11,218.54,225.29,218.54,224.81,"67,649","15,633,206",3.7862,0.2609,"25,930,380","6,041,778",233.0,233.5,3.7163,19.162,10.892999999999999,"20,879",17.22,17.16,4.5,4.5
41,2017-10-20,229.63,231.08,229.15,229.15,"27,056","6,456,386",-0.6276,0.1043,"25,930,380","6,158,465",237.5,238.0,-0.6296,19.375,5.452000000000001,"7,206",17.55,17.49,4.59,4.59
42,2017-11-14,232.53,232.53,230.6,231.56,"17,229","4,132,433",0.2088,0.0664,"25,930,380","6,223,291",240.0,240.5,0.2086,19.584,3.5410000000000004,"4,130",18.09,17.68,4.35,4.64
43,2017-11-16,229.63,231.56,229.15,229.63,"17,274","4,118,927",0.2105,0.0666,"25,930,380","6,171,430",238.0,238.5,0.2103,19.525,4.268,"5,683",17.94,17.53,4.31,4.6
